epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1314.48,1.66531,2.12744,1.13255,0.52199,0.19042,0.19667,0.10011,1.60427,1.79828,1.09633,0.000220969,0.000220969,0.000220969
2,2296.81,1.56245,1.27575,1.11518,0.56758,0.26352,0.2427,0.11738,1.59765,1.42887,1.13222,0.000425748,0.000425748,0.000425748
3,3190.14,1.55156,1.16402,1.12095,0.62499,0.31223,0.30615,0.14728,1.57454,1.20405,1.1236,0.000612918,0.000612918,0.000612918
4,4087.55,1.53284,1.08469,1.11649,0.63833,0.32378,0.32078,0.14968,1.56512,1.17563,1.12576,0.00058776,0.00058776,0.00058776
5,5007.3,1.50746,1.0236,1.11123,0.57637,0.34886,0.35802,0.17888,1.55678,1.02623,1.12425,0.000561347,0.000561347,0.000561347
6,5933.19,1.48951,0.98833,1.10037,0.71537,0.34344,0.37962,0.19364,1.51719,0.98217,1.11321,0.000534934,0.000534934,0.000534934
7,6863.8,1.46956,0.95551,1.09205,0.73969,0.34934,0.39669,0.202,1.48962,0.93239,1.09588,0.000508521,0.000508521,0.000508521
8,8036.14,1.45593,0.93032,1.0889,0.7243,0.38268,0.42728,0.21313,1.48975,0.90682,1.09685,0.000482108,0.000482108,0.000482108
9,8987.65,1.44599,0.91565,1.08276,0.71196,0.40365,0.4406,0.22096,1.47669,0.8946,1.0843,0.000455694,0.000455694,0.000455694
10,10097.4,1.43258,0.89734,1.0784,0.73565,0.38671,0.43771,0.22272,1.45701,0.87929,1.07825,0.000429281,0.000429281,0.000429281
11,11022.5,1.41248,0.88052,1.07058,0.77815,0.40193,0.45347,0.23576,1.44287,0.86556,1.07023,0.000402868,0.000402868,0.000402868
12,11911.1,1.41396,0.87172,1.07077,0.7899,0.41281,0.48527,0.25136,1.48553,0.87894,1.1001,0.000376455,0.000376455,0.000376455
13,12825.9,1.39619,0.85665,1.06456,0.73742,0.4588,0.4938,0.25627,1.43569,0.82547,1.07065,0.000350042,0.000350042,0.000350042
14,13742.6,1.38311,0.84037,1.06093,0.77995,0.41573,0.47694,0.25106,1.41887,0.82883,1.06445,0.000323628,0.000323628,0.000323628
15,14641.5,1.38026,0.83714,1.05909,0.62738,0.44695,0.48555,0.25338,1.43572,0.81022,1.06997,0.000297215,0.000297215,0.000297215
16,15534.4,1.39586,0.81333,1.06924,0.6957,0.44935,0.50427,0.26558,1.44202,0.82481,1.07162,0.000270802,0.000270802,0.000270802
17,16364.3,1.37944,0.79873,1.063,0.65343,0.45389,0.52331,0.2753,1.40104,0.79038,1.05696,0.000244389,0.000244389,0.000244389
18,17208,1.36698,0.78183,1.05826,0.68342,0.51085,0.53351,0.28355,1.40223,0.78573,1.05624,0.000217976,0.000217976,0.000217976
19,18086.3,1.35711,0.76943,1.05172,0.71633,0.51754,0.5541,0.29703,1.37846,0.76645,1.04603,0.000191562,0.000191562,0.000191562
20,18929.2,1.3448,0.75738,1.04824,0.73913,0.50961,0.55686,0.29673,1.38511,0.76189,1.05008,0.000165149,0.000165149,0.000165149
21,19811.9,1.3321,0.74545,1.04229,0.7715,0.51279,0.56462,0.30451,1.36607,0.74576,1.0434,0.000138736,0.000138736,0.000138736
22,20688.3,1.31861,0.73293,1.03934,0.77105,0.49978,0.56274,0.30623,1.36557,0.74615,1.04465,0.000112323,0.000112323,0.000112323
23,21515.8,1.30899,0.72453,1.03472,0.76189,0.52017,0.57309,0.31563,1.3489,0.73039,1.04019,8.59096e-05,8.59096e-05,8.59096e-05
24,22343,1.29617,0.71464,1.03082,0.83328,0.4964,0.57978,0.31683,1.33996,0.72737,1.03645,5.94964e-05,5.94964e-05,5.94964e-05
25,23184.6,1.2907,0.70957,1.02751,0.76997,0.52224,0.58036,0.32111,1.33737,0.72159,1.03427,3.30832e-05,3.30832e-05,3.30832e-05
